[133 rows x 6 columns]
            번호     개방서비스명  영업상태구분코드                           소재지전체주소                         사업장명       업태구분명
538752  538753  즉석판매제조가공업         1            제주특별자치도 서귀포시 서홍동 294-1                          푸릇향   즉석판매제조가공업
538788  538789  즉석판매제조가공업         1        제주특별자치도 서귀포시 남원읍 신흥리 242-9                           바띠   즉석판매제조가공업
538891  538892  즉석판매제조가공업         1        제주특별자치도 제주시 구좌읍 평대리 1467-6                         소농로드   즉석판매제조가공업
539044  539045  즉석판매제조가공업         1        제주특별자치도 제주시 애월읍 신엄리 1989-3                         로쿤커피   즉석판매제조가공업
539439  539440  즉석판매제조가공업         1       제주특별자치도 서귀포시 표선면 가시리 2520-5                         담다제주   즉석판매제조가공업
540264  540265  즉석판매제조가공업         1         제주특별자치도 제주시 한림읍 옹포리 227-1                   무한의서커피로스터스   즉석판매제조가공업
541478  541479  즉석판매제조가공업         1               제주특별자치도 제주시 노형동 139                          우연못   즉석판매제조가공업
541856  541857  즉석판매제조가공업         1           제주특별자치도 제주시 노형동 2527-12                         먼트커피   즉석판매제조가공업
542096  542097  즉석판매제조가공업         1         제주특별자치도 서귀포시 성산읍 삼달리 1037                         카페옜다   즉석판매제조가공업
542097  542098  즉석판매제조가공업         1           제주특별자치도 서귀포시 법환동 1289-2                           홉히   즉석판매제조가공업
543072  543073  즉석판매제조가공업         1         제주특별자치도 제주시 한림읍 명월리 307-8                         카페화가   즉석판매제조가공업
543251  543252  즉석판매제조가공업         1       제주특별자치도 서귀포시 대정읍 신도리 1407-1                         나무식탁   즉석판매제조가공업
543787  543788  즉석판매제조가공업         1            제주특별자치도 제주시 삼도일동 579-2                        메종드카페   즉석판매제조가공업
544709  544710  즉석판매제조가공업         1            제주특별자치도 제주시 노형동 2524-6                      허커피로스터스   즉석판매제조가공업
545543  545544  즉석판매제조가공업         1        제주특별자치도 제주시 조천읍 함덕리 72-167                           폰스   즉석판매제조가공업
550848  550849  즉석판매제조가공업         1        제주특별자치도 제주시 애월읍 광령리 1039-3                          썬보틀   즉석판매제조가공업
551231  551232  즉석판매제조가공업         1           제주특별자치도 서귀포시 동홍동 448-14                       유니나디저트   즉석판매제조가공업
551254  551255  즉석판매제조가공업         1         제주특별자치도 제주시 조천읍 함덕리 944-1                         조이아지   즉석판매제조가공업
551392  551393  즉석판매제조가공업         1         제주특별자치도 제주시 조천읍 신촌리 539-4                        이길누리다   즉석판매제조가공업
551394  551395  즉석판매제조가공업         1       제주특별자치도 제주시 구좌읍 한동리 1139-12                        카페인사리   즉석판매제조가공업
551536  551537  즉석판매제조가공업         1   제주특별자치도 서귀포시 중문동 2700 제주국제컨벤션센터                    미카의달콤한작업실   즉석판매제조가공업    
551786  551787  즉석판매제조가공업         1      제주특별자치도 서귀포시 안덕면 상창리 1579-28  메종노트르테르(MAISON NOTRE TERRE)   즉석판매제조가공업
551787  551788  즉석판매제조가공업         1              제주특별자치도 서귀포시 하효동 600                          오하효   즉석판매제조가공업
552608  552609  즉석판매제조가공업         1         제주특별자치도 제주시 구좌읍 평대리 579-8                        시간을담다   즉석판매제조가공업
552783  552784  즉석판매제조가공업         1           제주특별자치도 제주시 아라일동 2251-2                        디트루키친   즉석판매제조가공업
553346  553347  즉석판매제조가공업         1        제주특별자치도 제주시 이호이동 1177 현하우스                        아꼬운제주   즉석판매제조가공업
553681  553682  즉석판매제조가공업         1        제주특별자치도 서귀포시 남원읍 위미리 745-4                        모노클제주   즉석판매제조가공업
553824  553825  즉석판매제조가공업         1       제주특별자치도 서귀포시 성산읍 고성리 2040-1                     제주커피박물관2   즉석판매제조가공업
554482  554483  즉석판매제조가공업         1       제주특별자치도 제주시 애월읍 하귀1리 138-13                      네꼬야티하우스   즉석판매제조가공업
554483  554484  즉석판매제조가공업         1            제주특별자치도 제주시 외도이동 319-1                         제주몹시   즉석판매제조가공업
554485  554486  즉석판매제조가공업         1          제주특별자치도 제주시 화북일동 1984-10                           알록   즉석판매제조가공업
554680  554681  즉석판매제조가공업         1           제주특별자치도 서귀포시 서귀동 259-14               한스풀(Han's ful)   즉석판매제조가공업
554813  554814  즉석판매제조가공업         1         제주특별자치도 제주시 구좌읍 상도리 408-4                        카페까르네   즉석판매제조가공업
556208  556209  즉석판매제조가공업         1     제주특별자치도 제주시 이도이동 1018-16 소영빌딩                  영영상점이도14호상점   즉석판매제조가공업
